status,price,bed,bath,acre_lot,full_address,street,city,state,zip_code,house_size,sold_date,year
for_sale,349900.0,3.0,1.0,0.11,"75 Ellenel Blvd, Spotswood, NJ, 08884",75 Ellenel Blvd,Spotswood,New Jersey,8884.0,1164.0,2015-10-27,2015
for_sale,249900.0,2.0,3.0,0.61,"1119 Schmidt Ln, North Brunswick, NJ, 08902",1119 Schmidt Ln,North Brunswick,New Jersey,8902.0,1250.0,2005-12-19,2005
for_sale,649000.0,4.0,3.0,0.17,"1641 Hudson Ave, North Brunswick, NJ, 08902",1641 Hudson Ave,North Brunswick,New Jersey,8902.0,3252.0,2012-11-21,2012
for_sale,520000.0,3.0,2.0,0.34,"25 Maple St, Spotswood, NJ, 08884",25 Maple St,Spotswood,New Jersey,8884.0,1700.0,2016-03-08,2016
for_sale,1899000.0,4.0,3.0,0.41,"5 Sprague Ct, Staten Island, NY, 10307",5 Sprague Ct,Staten Island,New York,10307.0,5760.0,2003-10-21,2003
for_sale,535000.0,3.0,3.0,0.3,"2 Jensen St, East Brunswick, NJ, 08816",2 Jensen St,East Brunswick,New Jersey,8816.0,1560.0,2015-01-28,2015
for_sale,695500.0,5.0,3.0,0.29,"55 Sturbridge Dr E, Piscataway, NJ, 08854",55 Sturbridge Dr E,Piscataway,New Jersey,8854.0,2700.0,2022-01-18,2022
for_sale,485000.0,3.0,2.0,0.15,"4 Finley Rd, Edison, NJ, 08817",4 Finley Rd,Edison,New Jersey,8817.0,1536.0,2020-11-17,2020
for_sale,419999.0,2.0,2.0,0.02,"41 Wellington Ct Apt 4B, Staten Island, NY, 10314",41 Wellington Ct Apt 4B,Staten Island,New York,10314.0,1082.0,2015-12-17,2015
for_sale,699000.0,2.0,3.0,0.04,"514 Neckar Ave, Staten Island, NY, 10304",514 Neckar Ave,Staten Island,New York,10304.0,1267.0,2002-09-26,2002
for_sale,1200000.0,5.0,5.0,0.14,"140 Hawley Ave, Staten Island, NY, 10312",140 Hawley Ave,Staten Island,New York,10312.0,2724.0,2007-04-24,2007
for_sale,459000.0,4.0,2.0,0.09,"49 Eden Ave, Edison, NJ, 08817",49 Eden Ave,Edison,New Jersey,8817.0,1536.0,2022-01-19,2022
for_sale,450000.0,2.0,2.0,0.01,"1342 Arthur Kill Rd, Staten Island, NY, 10312",1342 Arthur Kill Rd,Staten Island,New York,10312.0,1524.0,2003-12-16,2003
for_sale,699000.0,3.0,3.0,0.08,"108 Watchogue Rd, Staten Island, NY, 10314",108 Watchogue Rd,Staten Island,New York,10314.0,1540.0,2007-01-23,2007
for_sale,760000.0,3.0,3.0,0.06,"36 Nehring Ave, Staten Island, NY, 10314",36 Nehring Ave,Staten Island,New York,10314.0,1768.0,2014-06-06,2014
for_sale,1699000.0,4.0,2.0,0.07,"422 84th St, Brooklyn, NY, 11209",422 84th St,Brooklyn,New York,11209.0,2496.0,2007-04-09,2007
for_sale,300000.0,3.0,1.0,0.15,"991 Old Bridge Tpke, East Brunswick, NJ, 08816",991 Old Bridge Tpke,East Brunswick,New Jersey,8816.0,1212.0,2004-04-14,2004
for_sale,470000.0,3.0,3.0,0.03,"35 Osprey Dr, Old Bridge, NJ, 08857",35 Osprey Dr,Old Bridge,New Jersey,8857.0,2036.0,2006-06-13,2006
for_sale,1299900.0,5.0,5.0,1.18,"2 Blue Diamond Hill Ct, East Brunswick, NJ, 08850",2 Blue Diamond Hill Ct,East Brunswick,New Jersey,8850.0,4966.0,2009-12-16,2009
for_sale,810000.0,4.0,3.0,0.42,"1100 Sylvan Ln, Mountainside, NJ, 07092",1100 Sylvan Ln,Mountainside,New Jersey,7092.0,2400.0,2016-01-22,2016
for_sale,845000.0,3.0,3.0,0.11,"3846 Amboy Rd, Staten Island, NY, 10308",3846 Amboy Rd,Staten Island,New York,10308.0,2806.0,2003-07-08,2003
for_sale,670000.0,3.0,2.0,0.04,"66 Cuba Ave, Staten Island, NY, 10306",66 Cuba Ave,Staten Island,New York,10306.0,1825.0,2007-11-13,2007
for_sale,838800.0,4.0,2.0,0.14,"187 Olympia Blvd, Staten Island, NY, 10305",187 Olympia Blvd,Staten Island,New York,10305.0,1440.0,2014-10-24,2014
for_sale,1485000.0,8.0,4.0,0.07,"2317 83rd St, Brooklyn, NY, 11214",2317 83rd St,Brooklyn,New York,11214.0,2845.0,2015-04-27,2015
for_sale,615000.0,3.0,2.0,0.03,"303 Roma Ave, Staten Island, NY, 10306",303 Roma Ave,Staten Island,New York,10306.0,1200.0,2008-10-08,2008
for_sale,739000.0,4.0,4.0,0.06,"76 Mulberry Ave, Staten Island, NY, 10314",76 Mulberry Ave,Staten Island,New York,10314.0,2155.0,2011-06-09,2011
for_sale,949999.0,3.0,3.0,0.05,"41 Diaz St, Staten Island, NY, 10305",41 Diaz St,Staten Island,New York,10305.0,2000.0,2002-03-25,2002
for_sale,679000.0,3.0,2.0,0.06,"2793 Amboy Rd, Staten Island, NY, 10306",2793 Amboy Rd,Staten Island,New York,10306.0,1280.0,2011-05-31,2011
for_sale,1100000.0,4.0,4.0,0.1,"22 Samantha Ln, Staten Island, NY, 10309",22 Samantha Ln,Staten Island,New York,10309.0,3175.0,2015-09-03,2015
for_sale,1499999.0,4.0,3.0,0.05,"1280 84th St, Brooklyn, NY, 11228",1280 84th St,Brooklyn,New York,11228.0,2400.0,2005-09-20,2005
for_sale,369000.0,3.0,2.0,0.15,"42 Helmetta Rd, Jamesburg, NJ, 08831",42 Helmetta Rd,Jamesburg,New Jersey,8831.0,1157.0,2021-08-31,2021
for_sale,289000.0,2.0,2.0,0.01,"522 Edison Glen Ter, Edison, NJ, 08837",522 Edison Glen Ter,Edison,New Jersey,8837.0,1291.0,2006-07-12,2006
for_sale,899900.0,5.0,5.0,0.46,"36 Ainsworth Ave, East Brunswick, NJ, 08816",36 Ainsworth Ave,East Brunswick,New Jersey,8816.0,4182.0,2006-09-07,2006
for_sale,269000.0,2.0,2.0,0.2,"300 Wimbeldon Ct, North Brunswick, NJ, 08902",300 Wimbeldon Ct,North Brunswick,New Jersey,8902.0,1011.0,2001-07-24,2001
for_sale,800000.0,4.0,3.0,0.89,"2 Alex Ct, Monroe, NJ, 08831",2 Alex Ct,Monroe,New Jersey,8831.0,2632.0,2018-01-25,2018
for_sale,1350000.0,5.0,4.0,0.22,"9 Brower Ct, East Brunswick, NJ, 08816",9 Brower Ct,East Brunswick,New Jersey,8816.0,3386.0,2019-09-06,2019
for_sale,899000.0,5.0,3.0,0.19,"6 Dayton Rd, Edison, NJ, 08817",6 Dayton Rd,Edison,New Jersey,8817.0,3500.0,2021-04-13,2021
for_sale,525000.0,5.0,2.0,0.2,"75 Grace Dr, Old Bridge, NJ, 08857",75 Grace Dr,Old Bridge,New Jersey,8857.0,1822.0,2021-05-14,2021
for_sale,850000.0,4.0,3.0,0.42,"117 Creemer Ave, Iselin, NJ, 08830",117 Creemer Ave,Iselin,New Jersey,8830.0,2732.0,2004-08-03,2004
for_sale,465000.0,4.0,2.0,0.17,"213 4th St, Hazlet, NJ, 07734",213 4th St,Hazlet,New Jersey,7734.0,1845.0,2020-01-14,2020
for_sale,595000.0,3.0,3.0,0.14,"903 Shep Dr, Highland Park, NJ, 08904",903 Shep Dr,Highland Park,New Jersey,8904.0,2256.0,2015-08-19,2015
for_sale,355000.0,3.0,1.0,0.22,"6 Rebecca Pl, Piscataway, NJ, 08854",6 Rebecca Pl,Piscataway,New Jersey,8854.0,1170.0,2004-02-02,2004
for_sale,449000.0,2.0,3.0,0.01,"32 Brandis Ln, New York City, NY, 10312",32 Brandis Ln,New York City,New York,10312.0,1080.0,2002-01-14,2002
for_sale,539999.0,2.0,2.0,0.0,"1 Spring St Apt 2106, New Brunswick, NJ, 08901",1 Spring St Apt 2106,New Brunswick,New Jersey,8901.0,1219.0,2006-09-13,2006
for_sale,1390000.0,4.0,2.0,0.23,"160 Vail Ave, Staten Island, NY, 10309",160 Vail Ave,Staten Island,New York,10309.0,3224.0,2001-06-21,2001
for_sale,499000.0,4.0,3.0,0.11,"610 Grandview St, Middlesex, NJ, 08846",610 Grandview St,Middlesex,New Jersey,8846.0,2190.0,2020-03-30,2020
for_sale,435000.0,4.0,2.0,0.15,"338 Ryders Ln, East Brunswick, NJ, 08816",338 Ryders Ln,East Brunswick,New Jersey,8816.0,1590.0,2017-11-28,2017
for_sale,977000.0,5.0,4.0,0.49,"10 Abolition Path, Monroe, NJ, 08831",10 Abolition Path,Monroe,New Jersey,8831.0,3652.0,2020-05-22,2020
